page_num,quote,author,tags,author_birth_date
1,“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking,Albert Einstein,change deep-thoughts thinking world,"March 14, 1879"
1,"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",J.K. Rowling,abilities choices,"July 31, 1965"
1,“There are only two ways to live your life. One is as though nothing is a miracle,Albert Einstein,inspirational life live miracle miracles,"March 14, 1879"
1,"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane Austen,aliteracy books classic humor,"December 16, 1775"
1,"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Marilyn Monroe,be-yourself inspirational,"June 01, 1926"
1,“Try not to become a man of success. Rather become a man of value,Albert Einstein,adulthood success value,"March 14, 1879"
1,“It is better to be hated for what you are than to be loved for what you are not.”,André Gide,life love,"November 22, 1869"
1,"“I have not failed. I've just found 10,000 ways that won't work",Thomas A. Edison,edison failure inspirational paraphrased,"February 11, 1847"
1,“A woman is like a tea bag; you never know how strong it is until it's in hot water.”,Eleanor Roosevelt,misattributed-eleanor-roosevelt,"October 11, 1884"
1,"“A day without sunshine is like, you know, night.”",Steve Martin,humor obvious simile,"August 14, 1945"
2,"“This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth",Marilyn Monroe,friends heartbreak inspirational life love sisters,"June 01, 1926"
2,"“It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.”",J.K. Rowling,courage friends,"July 31, 1965"
2,"“If you can't explain it to a six year old, you don't understand it yourself.”",Albert Einstein,simplicity understand,"March 14, 1879"
2,"“You may not be her first, her last, or her only. She loved before she may love again",Bob Marley,love,"February 06, 1945"
2,"“I like nonsense, it wakes up the brain cells. Fantasy is a necessary ingredient in living",Dr. Seuss,fantasy,"March 02, 1904"
2,"“I may not have gone where I intended to go, but I think I have ended up where I needed to be.”",Douglas Adams,life navigation,"March 11, 1952"
2,"“The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference",Elie Wiesel,activism apathy hate indifference inspirational love opposite philosophy,"September 30, 1928"
2,"“It is not a lack of love, but a lack of friendship that makes unhappy marriages.”",Friedrich Nietzsche,friendship lack-of-friendship lack-of-love love marriage unhappy-marriage,"October 15, 1844"
2,"“Good friends, good books, and a sleepy conscience: this is the ideal life.”",Mark Twain,books contentment friends friendship life,"November 30, 1835"
2,“Life is what happens to us while we are making other plans.”,Allen Saunders,fate life misattributed-john-lennon planning plans,"April 24, 1899"
3,"“I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close",Pablo Neruda,love poetry,"July 12, 1904"
3,“For every minute you are angry you lose sixty seconds of happiness.”,Ralph Waldo Emerson,happiness,"May 25, 1803"
3,"“If you judge people, you have no time to love them.”",Mother Teresa,attributed-no-source,"August 26, 1910"
3,“Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.”,Garrison Keillor,humor religion,"August 07, 1942"
3,“Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.”,Jim Henson,humor,"September 24, 1936"
3,"“Today you are You, that is truer than true. There is no one alive who is Youer than You",Dr. Seuss,comedy life yourself,"March 02, 1904"
3,"“If you want your children to be intelligent, read them fairy tales. If you want them to be more intelligent, read them more fairy tales",Albert Einstein,children fairy-tales,"March 14, 1879"
3,"“It is impossible to live without failing at something, unless you live so cautiously that you might as well not have lived at all - in which case, you fail by default.”",J.K. Rowling,,"July 31, 1965"
3,“Logic will get you from A to Z; imagination will get you everywhere.”,Albert Einstein,imagination,"March 14, 1879"
3,"“One good thing about music, when it hits you, you feel no pain.”",Bob Marley,music,"February 06, 1945"
